Product Description	Supplier Name	Product Code	Plu
ABBOTTS BRD DARK RYE     700GM	WAREHOUSE HOSTED	713080	9339423008579
ABBOTTS BRD GF MXED SEEDS500GM	WAREHOUSE HOSTED	670101	9339423007046
ABBOTTS BRD GF SOY&L/SEED500GM	WAREHOUSE HOSTED	670119	9339423007053
ABBOTTS BRD GF WH/MEAL   500GM	WAREHOUSE HOSTED	808644	9339423008807
ABBOTTS BRD HPRT SY/CH&QN700GM	WAREHOUSE HOSTED	175046	9339423009910
ABBOTTS BRD L/CARB WHT   600GM	WAREHOUSE HOSTED	175054	9339423009903
ABBOTTS BRD LIGHT RYE    680GM	WAREHOUSE HOSTED	811090	9339423003499
ABBOTTS BRD S/DOUGH RYE  760GM	WAREHOUSE HOSTED	810167	9339423008845
ABBOTTS BRD S/DOUGH WHT 760GM	WAREHOUSE HOSTED	328102	9339423009668
ABBOTTS BRD SEEDS&GRAINS 750GM	WAREHOUSE HOSTED	811605	9339423004229
ABBOTTS BRD SMOOTH OAT   700GM	WAREHOUSE HOSTED	616767	9339423009804
ABBOTTS BRD WHOLEMEAL    750GM	WAREHOUSE HOSTED	811082	9339423003482
ABBOTTS BRD WHT RUSTIC GF500GM	WAREHOUSE HOSTED	443949	9339423007039
ABBOTTS BREAD GRAIN VB   800GM	WAREHOUSE HOSTED	442626	9339423007978
ABBOTTS BREAD WHT RUSTIC 700GM	WAREHOUSE HOSTED	442595	9339423007961
ABBOTTS S/D BRD GFGRN&SD 500GM	WAREHOUSE HOSTED	267770	9339423009064
ABES BAGELS EVERYTHING   360GM	WAREHOUSE HOSTED	409018	9421001850783
ABES BAGELS LOW CARB     360GM	WAREHOUSE HOSTED	409356	9421001850912
ABES BAGELS NATURAL      360GM	WAREHOUSE HOSTED	409377	9421001850028
ABES BAGELS SESAME       360GM	WAREHOUSE HOSTED	409403	9421001850257
ABES BAGELS THINS NATURAL300GM	WAREHOUSE HOSTED	410975	9421001852749
ABES BAGELS THINS SESAME 300GM	WAREHOUSE HOSTED	411272	9421001852756
B/CUP BRD C/SPLIT W/MEAL 450GM	WAREHOUSE HOSTED	381765	9310283117618
B/CUP BRD C/SPLIT WHITE  450GM	WAREHOUSE HOSTED	467927	9310283117915
B/OVEN CROISSANT BTR 3PK 189GM	WAREHOUSE HOSTED	406112	9310246065901
B/OVN CROISSANT BTR 12PK 840GM	WAREHOUSE HOSTED	343131	9310246065925
B/OVN CROISSANT BTR 4PK  190GM	WAREHOUSE HOSTED	362321	9310246065918
BAZAAR LEB BRD WHITE       6PK	WAREHOUSE HOSTED	917053	9310043005520
BREAD ROLLS	UNKNOWN	1000404	100000000000000007
BURGEN BRD L/CHL W/GRN   700GM	WAREHOUSE HOSTED	358791	9339423009699
BURGEN BRD S/FLW LSD LCB 660GM	WAREHOUSE HOSTED	281091	9339423009200
BURGEN BRD SY&L/SEED TRAD700GM	WAREHOUSE HOSTED	867313	9310043008934
BURGEN BRD TRAD RYE      700GM	WAREHOUSE HOSTED	867305	9310043008941
BURGEN BRD W/MEAL & SEEDS 700G	WAREHOUSE HOSTED	887761	9310043008927
BURGEN BRD WHLEGRAIN OATS700GM	WAREHOUSE HOSTED	878018	9339423004182
C/LIFE BRD G/F GRN SEEDS 400GM	WAREHOUSE HOSTED	379577	9310023144089
C/LIFE BRD G/F WHITE     400GM	WAREHOUSE HOSTED	378479	9310023144072
CAKE ROLLS	UNKNOWN	1000399	100000000000000002
CARAMEL TART	UNKNOWN	1000402	100000000000000005
CLR WRP BRD MULTIGRN     700GM	WAREHOUSE HOSTED	208522	9339423007268
CLR WRP BRD ROL HAMBRG SED12PK	WAREHOUSE HOSTED	210456	9339423003680
CLR WRP BRD ROL KNOT UNSD  6PK	WAREHOUSE HOSTED	208849	9310043001041
CLR WRP BRD SWICH WHLML  700GM	WAREHOUSE HOSTED	208551	9339423001549
CLR WRP BRD SWICH WHTE   700GM	WAREHOUSE HOSTED	208556	9339423001556
COB LOAF	UNKNOWN	1000401	100000000000000004
CREAM BUNS	UNKNOWN	1000398	100000000000000001
CW BATCH RND ROLL M/GR6P 540GM	WAREHOUSE HOSTED	715422	9310023138392
CW BATCH RND ROLL WH/ML6P480GM	WAREHOUSE HOSTED	715464	9310023138385
CW BATCH RND ROLL WHTE6P 450GM	WAREHOUSE HOSTED	715456	9310023138378
CW CHSE & BACON ROLLS 6P 570GM	WAREHOUSE HOSTED	715477	9310023127402
CW WHTE SEED ROLL4IN 6PK 450GM	WAREHOUSE HOSTED	715480	9310023134363
GOLDEN BRD CRML B/SCTCH  600GM	WAREHOUSE HOSTED	157912	9339423009897
GOLDEN CRUMPETS            PK6	WAREHOUSE HOSTED	457192	9310043003014
GOLDEN CRUMPETS B/BRD      6PK	WAREHOUSE HOSTED	205171	9339423009781
GOLDEN CRUMPETS SQUARES  425GM	WAREHOUSE HOSTED	332067	9310043003434
